"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072520","seminiferous tubule development","1/32","16/18986",0.0625,37.08203125,5.93262852994434,0.0266394079012382,0.147828343498143,0.11472333778184,"REC8",1
"GO:0090660","cerebrospinal fluid circulation","1/32","16/18986",0.0625,37.08203125,5.93262852994434,0.0266394079012382,0.147828343498143,0.11472333778184,"ODAD3",1
"GO:0120161","regulation of cold-induced thermogenesis","2/32","151/18986",0.0132450331125828,7.85844370860927,3.47665095941234,0.0266670737290768,0.147828343498143,0.11472333778184,"PEMT/NOVA1",2
"GO:0106106","cold-induced thermogenesis","2/32","153/18986",0.0130718954248366,7.75571895424837,3.44736595270918,0.0273237161616499,0.149839733789693,0.116284292889421,"PEMT/NOVA1",2
"GO:0042448","progesterone metabolic process","1/32","17/18986",0.0588235294117647,34.9007352941176,5.74567705553943,0.0282813445879623,0.15024464312355,0.116598525932827,"CYP46A1",1
"GO:0097091","synaptic vesicle clustering","1/32","17/18986",0.0588235294117647,34.9007352941176,5.74567705553943,0.0282813445879623,0.15024464312355,0.116598525932827,"RAB3A",1
"GO:1902358","sulfate transmembrane transport","1/32","17/18986",0.0588235294117647,34.9007352941176,5.74567705553943,0.0282813445879623,0.15024464312355,0.116598525932827,"SLC26A11",1
"GO:0060271","cilium assembly","3/32","398/18986",0.00753768844221105,4.47220477386935,2.87647355543376,0.0289369559225063,0.152142757943074,0.118071572727752,"ODAD3/B9D1/DNAI1",3
"GO:0060221","retinal rod cell differentiation","1/32","18/18986",0.0555555555555556,32.9618055555556,5.57425252054317,0.0299205979472958,0.154136413667888,0.119618764786637,"NRL",1
"GO:1903729","regulation of plasma membrane organization","1/32","18/18986",0.0555555555555556,32.9618055555556,5.57425252054317,0.0299205979472958,0.154136413667888,0.119618764786637,"RAB3A",1
"GO:1903311","regulation of mRNA metabolic process","3/32","406/18986",0.00738916256157635,4.38408251231527,2.83211547721609,0.0304458740322778,0.155273957564617,0.12050156459091,"CELF3/NOVA1/CELF5",3
"GO:0006684","sphingomyelin metabolic process","1/32","19/18986",0.0526315789473684,31.2269736842105,5.41629110587264,0.0315571722232175,0.157785861116088,0.12245094691362,"PEMT",1
"GO:0030575","nuclear body organization","1/32","19/18986",0.0526315789473684,31.2269736842105,5.41629110587264,0.0315571722232175,0.157785861116088,0.12245094691362,"CELF3",1
"GO:1990845","adaptive thermogenesis","2/32","170/18986",0.0117647058823529,6.98014705882353,3.21812214717242,0.0331647932212327,0.15999435350307,0.124164864638089,"PEMT/NOVA1",2
"GO:0061003","positive regulation of dendritic spine morphogenesis","1/32","20/18986",0.05,29.665625,5.27009436512502,0.0331910716532203,0.15999435350307,0.124164864638089,"CAMK2B",1
"GO:0007009","plasma membrane organization","2/32","173/18986",0.0115606936416185,6.85910404624277,3.1809371324856,0.034242486154182,0.15999435350307,0.124164864638089,"XKR7/RAB3A",2
"GO:0044782","cilium organization","3/32","427/18986",0.00702576112412178,4.1684718969555,2.7209236959941,0.0346030859170133,0.15999435350307,0.124164864638089,"ODAD3/B9D1/DNAI1",3
"GO:0031340","positive regulation of vesicle fusion","1/32","21/18986",0.0476190476190476,28.2529761904762,5.13425000731332,0.0348223004683152,0.15999435350307,0.124164864638089,"RPH3AL",1
"GO:0032011","ARF protein signal transduction","1/32","21/18986",0.0476190476190476,28.2529761904762,5.13425000731332,0.0348223004683152,0.15999435350307,0.124164864638089,"IQSEC3",1
"GO:0032012","regulation of ARF protein signal transduction","1/32","21/18986",0.0476190476190476,28.2529761904762,5.13425000731332,0.0348223004683152,0.15999435350307,0.124164864638089,"IQSEC3",1
"GO:0071786","endoplasmic reticulum tubular network organization","1/32","21/18986",0.0476190476190476,28.2529761904762,5.13425000731332,0.0348223004683152,0.15999435350307,0.124164864638089,"REEP2",1
"GO:0106070","regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","1/32","21/18986",0.0476190476190476,28.2529761904762,5.13425000731332,0.0348223004683152,0.15999435350307,0.124164864638089,"APLP1",1
"GO:0032253","dense core granule localization","1/32","23/18986",0.0434782608695652,25.7961956521739,4.88905926382652,0.0380767631454935,0.173385260751801,0.134556982544225,"RAB3A",1
"GO:0001659","temperature homeostasis","2/32","185/18986",0.0108108108108108,6.41418918918919,3.04059564119911,0.0386883966879171,0.17461134788352,0.1355084970159,"PEMT/NOVA1",2
"GO:0006706","steroid catabolic process","1/32","25/18986",0.04,23.7325,4.67322226033566,0.0413205939736265,0.178037819562301,0.138167637059701,"CYP46A1",1
"GO:0007130","synaptonemal complex assembly","1/32","25/18986",0.04,23.7325,4.67322226033566,0.0413205939736265,0.178037819562301,0.138167637059701,"REC8",1
"GO:0001835","blastocyst hatching","1/32","26/18986",0.0384615384615385,22.8197115384615,4.57452877804994,0.0429385329532608,0.178037819562301,0.138167637059701,"PEMT",1
"GO:0007274","neuromuscular synaptic transmission","1/32","26/18986",0.0384615384615385,22.8197115384615,4.57452877804994,0.0429385329532608,0.178037819562301,0.138167637059701,"RAB3A",1
"GO:0016082","synaptic vesicle priming","1/32","26/18986",0.0384615384615385,22.8197115384615,4.57452877804994,0.0429385329532608,0.178037819562301,0.138167637059701,"SYP",1
"GO:0032252","secretory granule localization","1/32","26/18986",0.0384615384615385,22.8197115384615,4.57452877804994,0.0429385329532608,0.178037819562301,0.138167637059701,"RAB3A",1
"GO:0035188","hatching","1/32","26/18986",0.0384615384615385,22.8197115384615,4.57452877804994,0.0429385329532608,0.178037819562301,0.138167637059701,"PEMT",1
"GO:0043501","skeletal muscle adaptation","1/32","26/18986",0.0384615384615385,22.8197115384615,4.57452877804994,0.0429385329532608,0.178037819562301,0.138167637059701,"CAMK2B",1
"GO:0071684","organism emergence from protective structure","1/32","26/18986",0.0384615384615385,22.8197115384615,4.57452877804994,0.0429385329532608,0.178037819562301,0.138167637059701,"PEMT",1
"GO:0090128","regulation of synapse maturation","1/32","26/18986",0.0384615384615385,22.8197115384615,4.57452877804994,0.0429385329532608,0.178037819562301,0.138167637059701,"CAMK2B",1
